Palmetto                            (1998, Crime, Drama, Mystery         Volker Schlöndorff            Woody Harrelson, Elisabeth ...]
The Worst Year of My Life           (2015, Comedy, Drama                 Jonathan Smith                Trevor St. John David, Amy ...]
Sin yan                             (2010, Action, Drama, Thriller       Dante Lam                     Nick Cheung, Nicholas Tse, ...]
Vanity Fair                         (2004, Drama                         Mira Nair                     Gabriel Byrne, Angelica Man...]
The Hounds                          (2011, Crime, Horror, Thriller       Maurizio del Piccolo, Rober...Andy Callaghan, John Dought...]
Stinger                             (2005, Action, Adventure, Comedy     Martin Munthe                 Jordi Almeida, James Cagnar...]
Beavis and Butt-Head Do America     (1996, Animation, Adventure, Comedy  Mike Judge, Mike de Seve      Mike Judge, Bruce Willis, D...]
Gong fu lian meng                   (2018, Action                        Jeffrey Lau                   Ashin, Kwok-Kwan Chan, Jay ...]
Gui lai                             (2014, Drama, Romance                Yimou Zhang                   Li Gong, Daoming Chen, Huiw...]
Gokudô sengokushi: Fudô             (1996, Action, Comedy, Crime         Takashi Miike                 Shôsuke Tanihara, Miho Nomo...]
Padheyam                            (1993, Drama                         Bharathan                     Mammootty, Chippy, Nedumudi...]
The Foreigner                       (2012, Comedy, Romance               Niki Iliev                    Lubomir Kovatchev, Sanya Bo...]
You Got Served                      (2004, Drama, Music                  Chris Stokes                  Omarion, Marques Houston, J...]
Fool's Gold                         (2008, Action, Adventure, Comedy     Andy Tennant                  Matthew McConaughey, Kate H...]
Live-In Fear                        (2016, Horror                        Brandon Scullion              Sarah Greyson, Arielle Brac...]
Grotesque                           (1988, Horror                        Joe Tornatore                 Linda Blair, Tab Hunter, Do...]
I.C.U.                              (2009, Horror, Thriller              Aash Aaron                    Margot Robbie, Christian Ra...]
Design                              (2002, Drama                         Davidson Cole                 Emma Bates, Larissa Borkows...]
Ringer                              (1996, Drama, Thriller               Carlo Gustaff                 Shannon Whirry, Timothy Bot...]
Distancias cortas                   (2015, Comedy, Drama                 Alejandro Guzmán Alvarez      Luca Ortega, Mauricio Isaac...]
Wagon Wheels                        (1934, Action, Adventure, Comedy     Charles Barton                Randolph Scott, Gail Patric...]
I nuovi barbari                     (1983, Action, Romance, Sci-Fi       Enzo G. Castellari            Giancarlo Prete, Fred Willi...]
Devil's Prey                        (2001, Horror, Thriller              Bradford May                  Ashley Jones, Charlie O'Con...]
People You May Know                 (2017, Comedy, Drama, Romance        Sherwin Shilati               Nick Thune, Halston Sage, K...]
Taps                                (1981, Drama                         Harold Becker                 George C. Scott, Timothy Hu...]
Monky                               (2017, Drama                         Maria Blom                    Julius Jimenez Hugoson, Edd...]
Hi no tori 2772: Ai no kosumozôn    (1980, Animation, Adventure, Drama   Taku Sugiyama                 Kaneto Shiozawa, Keiko Take...]
